vhicle_class,vhicle_deta,year,make,model,engine,category,subcategory,application,product_type,part,comments
Medium/Heavy Trucks,Medium/Heavy Trucks,2023,Peterbilt,567,Paccar MX-13 Diesel,"Air Intake System
                        (3)","Air Intake & Emission Control
                                (3)","DEF Tank Cap 
Eng. To Pipe (Hot Side) 
Pipe To Intercooler (Hot Side) 
","Diesel Emissions Fluid (DEF) Caps 
Turbocharger Hose (Ring-Retained) 
Turbocharger Hose (Ring-Retained) 
","30002 
26203 
26203 
"," 
 
 
"
Medium/Heavy Trucks,Medium/Heavy Trucks,2023,Peterbilt,579,Cummins X15 Diesel,"Air Intake System
                        (3)","Air Intake & Emission Control
                                (3)","DEF Tank Cap 
Eng. To Pipe (Hot Side) 
Pipe To Intercooler (Hot Side) 
","Diesel Emissions Fluid (DEF) Caps 
Turbocharger Hose (Ring-Retained) 
Turbocharger Hose (Ring-Retained) 
","30002 
26203 
26203 
"," 
 
 
"
Buses,School Buses,2022,Bluebird,Vision,Cummins B6.7 Diesel,"Belt Drive System
                        (4)","Front End Accessory Drive Components
                                (4)","Fan 
Fan 
Tensioner Assy. 
Idler Pulley 
","Automotive V-Ribbed Belts (Heavy Duty) 
Automotive V-Ribbed Belts (Standard) 
Belt Drive Tensioners 
Belt Drive Pulleys 
","K080952HD 
K080952 
38766 
36093 
"," 
 
 
 
"
Buses,School Buses,2022,International/Navistar,CE,PSI V-8 8.8 L,"Cooling System
                        (1)","Radiator Caps & Testers
                                (1)","Coolant Recovery Tank Cap 
","OE Type Radiator Caps 
","31405 
","15 psi 
"
Buses,Transit Buses,2018,Thomas Built,Transit-Liner HDX,Cummins ISL Diesel,"Belt Drive System
                        (1)","Front End Accessory Drive Components
                                (1)","Tensioner Assy. 
","Belt Drive Tensioners 
","38731 
"," 
"
Refrigeration Units,Refrigeration Units,All,Arctic Traveler,B,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Arctic Traveler,Challenger,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Arctic Traveler,FD10,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Arctic Traveler,TE750,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Carrier,Extra XT,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Carrier,Genesis TM1000,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Carrier,Genesis TM900,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Carrier,Maxima 1000,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Carrier,Maxima 1200,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Carrier,Supra 622,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Carrier,Supra 644,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Carrier,Supra 650,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Carrier,Supra 750,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Carrier,Supra 850,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Carrier,Supra 860,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Carrier,Supra 922,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Carrier,Supra 944,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Carrier,Supra 950,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Carrier,Supra 950 MT,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Carrier,Supra 960,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Carrier,Ultima,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Carrier,Ultra XL,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Carrier,Vector 6500,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Carrier,Vector 6600 MT,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Carrier,Vector 8500,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Carrier,Vector 8600MT,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Carrier,X2 1800,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Carrier,X2 2100,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Carrier,X2 2500A,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Carrier,X4 7300,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Carrier,X4 7500,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,B1,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,C,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,C-600,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,CA,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,CB-I,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,CB-II,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,CB-III,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,CBCI,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,CG,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,CGS1250,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,CM,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,Crown 500,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,D1 Series,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,D2M2,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,D3 Series,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,D4M1,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,FB2,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,FB2-M5,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,GA,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,GL,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,HA,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,HK 100,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,HK 30,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,HK 60,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,HM,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,J,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,JD-I 30,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,JD-I 50,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,KD-I,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,KD-II,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,KL 10,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,KL 20,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,KL 30,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,KL 40,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,KL 40S,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,KL 50,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,KL 62,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,KLA,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,KR,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,LC,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,LND 30,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,LND 30 PEG,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,LND 50,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,LND 50 PEG,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,LR,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,LR-I,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,M13,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,M15,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,M22,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,MD-I,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,MD-II,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,MD-II 30 TCI,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,MD-II MAX,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,MD-II SR,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,MW,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,MWC 10,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,MWC 20,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,MWC 30,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,MWC 40,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,MWC 50,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,MWCL 25,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,MWCT,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,NFD,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,NSD1-1012,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,NWD,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,NWD (Super & Crown),All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,NWD 30 3000,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,NWD 30 3005,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,NWD 30 3006,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,NWD 30 3100 Series,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,NWD 30 AM4,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,NWD 30 AM6,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,NWD 30 AM7,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,NWD 30 M100,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,NWD 30 M10A,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,NWD 30 M1212,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,NWD 30 M20,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,NWD 30 M22,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,NWD 30 M30,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,NWD 30 M35,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,NWD 30 M4,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,NWD 30 M46,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,NWD 30 M50,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,NWD 35 AM6,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,NWD 35 AM7,All,Na,Na,Na,Na,Na,Na
