vhicle_class,vhicle_deta,year,make,model,engine,category,subcategory,application,product_type,part,comments
Refrigeration Units,Refrigeration Units,All,Thermo King,SL-200,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,SMX,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,SMX-II,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,SRL,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,SRL-50,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,SROL,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,STB-I,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,STB-II,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,STB-III,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,Sentry,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,Sentry 30,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,Sentry 30 1000,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,Sentry 30 1200,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,Sentry 30 2000,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,Sentry 30 PEG,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,Sentry 50 1000,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,Sentry 50 1200,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,Sentry 50 2000,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,Sentry 50 Convertible,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,Sentry DI,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,Sentry DI 30,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,Sentry DI 30 PE,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,Sentry DI 30 PEG,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,Sentry DI 50,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,Sentry DI Convertible,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,Sentry DI Convertible PE,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,Sentry DI TC,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,Sentry TC Convertible,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,Super GS,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,Super II 30,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,Super II 30 Dehumidifier,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,Super II 30 Max,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,Super II 30 TC,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,Super II 50,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,Super II Max,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,Super MAX,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,Super NWD,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,Super NWD 30,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,Super NWD 30 5154 BP,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,Super NWD 30 5200 AMG,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,Super NWD 30 5300 AMG,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,Super NWD 30 PE 1000,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,Super NWD 30 PE 1200,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,Super NWD 50,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,Super NWD 50 5000,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,Super NWD 50 5100,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,Super NWD 50 5200,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,Super NWD 50 5200 AMG,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,Super NWD 50 5237 ESP,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,Super NWD 50 5300,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,Super NWD 50 5300 AMG,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,Super NWD 50 SS TV,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,Super NWD 5137 AMG,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,Super NWD LR,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,Super XMT,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,T-1000,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,T-1000 Spectrum,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,T-1000R,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,T-600,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,T-600R,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,T-800,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,T-800 Spectrum,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,T-800R,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,T3M43,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,TD,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,TD-II,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,TS200,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,TWD,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,UK,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,US,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,US-50,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,UWD,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,UWTD,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,Windjammer 500,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,XKL 10,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,XKL 10LT,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,XKL 20,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,XKL 20LT,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,XKL 30,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,XKL 30LT,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,XKL 50,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,XKL 50LT,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,XKW,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,XMD,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,XMD 30,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,XMD 50,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,XMD 50D,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,XMD-I,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,XMT,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,XNWD,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,XNWD 30,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,XNWE 100,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,XROL 10,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,XROL 10HT,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,XROL 20,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,XROL 20HT,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,XROL 30,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,XROL 30 M5,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,XROL 30HT,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,XROL 50,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,XROL 50 M5,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,XROL 50HT,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,XRW,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,XRW 20D,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,XRWL,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Thermo King,XUK 50 M4,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Transicold,1001,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Transicold,1003,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Transicold,161,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Transicold,200,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Transicold,2005,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Transicold,200B,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Transicold,201,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Transicold,202,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Transicold,203,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Transicold,204,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Transicold,220,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Transicold,220B,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Transicold,221,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Transicold,222,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Transicold,223,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Transicold,224,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Transicold,230,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Transicold,230B,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Transicold,230C,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Transicold,230CM,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Transicold,230CP,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Transicold,231,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Transicold,234,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Transicold,250,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Transicold,250C,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Transicold,250CM,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Transicold,251,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Transicold,254,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Transicold,260,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Transicold,270,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Transicold,6000A,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Transicold,6004A,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Transicold,6007,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Transicold,6007A,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Transicold,6008,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Transicold,6008A,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Transicold,640,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Transicold,645,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Transicold,650,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Transicold,655,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Transicold,660,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Transicold,670,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Transicold,Genesis TM1000,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Transicold,NDB40,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Transicold,NDE40,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Transicold,NDJ40,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Transicold,NDS40,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Transicold,NDT40,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Transicold,TDB,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Transicold,TDS,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Transicold,TGS,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Transicold,UDE,All,Na,Na,Na,Na,Na,Na
Refrigeration Units,Refrigeration Units,All,Transicold,UDG,All,Na,Na,Na,Na,Na,Na
